"","","","","","","Constants","Constants","Constants","Constants","Constants","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","Responses","Responses","Responses","Composites","Objectives","","","","",
"Sampling","Iteration","Experiment","Marked","Category","Type","fa2","fa1","fa3","F10000","T","a1","a2","s11","s12","s13","s14","s15","s21","s22","s23","s24","s25","CurveMatching1","Curvematching1000","_10000ppms_Curvematching1000","StandardComposite1","StandardComposite1","Multi-Objective","Max Constr. Violation","Successful run","Simulation Location",
"Sampling1",1,1,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.7000000000000000e-002,5.5000000000000000e-002,6.2199999999999998e-002,3.5999999999999997e-002,1.0999999999999999e-002,3.3000000000000002e-002,4.0000000000000001e-002,5.9999999999999998e-002,2.8000000000000001e-002,6.0000000000000001e-003,2.4456061284417896e-001,6.8011929722146258e-001,8.8968266926212491e-001,1.8143625793277665e+000,1.8143625793277665e+000,1.8143625793277665e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,2,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.7000000000000000e-002,5.0000000000000003e-002,5.5000000000000000e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.3000000000000002e-002,4.2999999999999997e-002,6.2000000000000000e-002,2.3000000000000000e-002,4.0000000000000001e-003,3.5955164192195722e-002,6.3800968122070659e-002,6.6956936664539016e-002,1.6671306897880539e-001,1.6671306897880539e-001,1.6671306897880539e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,3,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,5.5000000000000000e-002,4.2999999999999997e-002,5.5000000000000007e-002,6.2199999999999998e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.7000000000000005e-002,3.9999999999999994e-002,6.2000000000000000e-002,3.4000000000000002e-002,1.0000000000000000e-002,4.5319760224810052e-001,5.4688048640912601e-001,2.5037365740170836e-001,1.2504517460589348e+000,1.2504517460589348e+000,1.2504517460589348e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,4,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.7000000000000000e-002,5.0000000000000003e-002,5.5000000000000000e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.3000000000000002e-002,3.9999999999999994e-002,5.7999999999999996e-002,3.4000000000000002e-002,1.0000000000000000e-002,2.4456213644731428e-001,6.8010826885079201e-001,8.1775819445598696e-001,1.7424285997540934e+000,1.7424285997540934e+000,1.7424285997540934e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,5,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.7000000000000000e-002,5.5000000000000007e-002,5.5000000000000000e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.3000000000000002e-002,3.9999999999999994e-002,5.7999999999999996e-002,3.4000000000000002e-002,7.0000000000000001e-003,2.4502822104898053e-001,6.8012167952970892e-001,8.9489206264830068e-001,1.8200419632269900e+000,1.8200419632269900e+000,1.8200419632269900e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,6,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.2999999999999997e-002,5.2500000000000005e-002,5.5000000000000000e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.7000000000000005e-002,4.5999999999999999e-002,5.7999999999999996e-002,2.3000000000000000e-002,4.0000000000000001e-003,9.9743126960376485e-003,2.6281769467397041e-002,4.7100106287652176e-002,8.3356188451086860e-002,8.3356188451086860e-002,8.3356188451086860e-002,0.0000000000000000e+000,"yes","",
"Sampling1",1,7,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,5.5000000000000000e-002,4.2999999999999997e-002,5.0000000000000003e-002,5.5000000000000000e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.3000000000000002e-002,4.5999999999999999e-002,6.2000000000000000e-002,3.4000000000000002e-002,4.0000000000000001e-003,2.5934604775747333e-001,2.7959898435183606e-001,8.2085355996393800e-002,6.2103038810570321e-001,6.2103038810570321e-001,6.2103038810570321e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,8,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.2999999999999997e-002,5.5000000000000007e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.5000000000000003e-002,3.9999999999999994e-002,6.2000000000000000e-002,2.3000000000000000e-002,1.0000000000000000e-002,5.9818536948232567e-002,2.2595561629935937e-002,8.0644965129337123e-002,1.6305906370750561e-001,1.6305906370750561e-001,1.6305906370750561e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,9,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.2999999999999997e-002,5.5000000000000007e-002,5.5000000000000000e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.3000000000000002e-002,3.9999999999999994e-002,6.2000000000000000e-002,2.3000000000000000e-002,4.0000000000000001e-003,2.4461818154276210e-001,6.8009764140476803e-001,1.0210174155277691e+000,1.9457332384752992e+000,1.9457332384752992e+000,1.9457332384752992e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,10,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.4999999999999998e-002,5.0000000000000003e-002,5.5000000000000000e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.7000000000000005e-002,4.5999999999999999e-002,6.2000000000000000e-002,2.3000000000000000e-002,1.0000000000000000e-002,2.5426367731267935e-001,1.0152509130820841e-001,3.5289432143498049e-002,3.9107820076438582e-001,3.9107820076438582e-001,3.9107820076438582e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,11,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.7000000000000000e-002,5.5000000000000007e-002,5.5000000000000000e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.3000000000000002e-002,4.5999999999999999e-002,6.2000000000000000e-002,3.4000000000000002e-002,1.0000000000000000e-002,2.2317590965389453e-001,8.5690503413567015e-002,1.3533723652152779e-001,4.4420364958898934e-001,4.4420364958898934e-001,4.4420364958898934e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,12,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.7000000000000000e-002,5.5000000000000007e-002,6.2199999999999998e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.7000000000000005e-002,4.5999999999999999e-002,5.7999999999999996e-002,2.3000000000000000e-002,7.0000000000000001e-003,3.4123296595333204e-002,1.3782532271098342e-002,2.1814982276424456e-002,6.9720811142855998e-002,6.9720811142855998e-002,6.9720811142855998e-002,0.0000000000000000e+000,"yes","",
"Sampling1",1,13,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.2999999999999997e-002,5.0000000000000003e-002,5.5000000000000000e-002,4.0000000000000008e-002,1.0999999999999999e-002,3.7000000000000005e-002,3.9999999999999994e-002,5.7999999999999996e-002,2.3000000000000000e-002,1.0000000000000000e-002,1.0095250136298234e-001,2.5310642948858203e-001,6.8278574200642803e-002,4.2233750505220718e-001,4.2233750505220718e-001,4.2233750505220718e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,14,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.2999999999999997e-002,5.0000000000000003e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.7000000000000005e-002,4.2999999999999997e-002,5.7999999999999996e-002,3.4000000000000002e-002,4.0000000000000001e-003,7.2984800181011833e-002,3.3653327902749851e-002,7.6388673863500095e-002,1.8302680194726179e-001,1.8302680194726179e-001,1.8302680194726179e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,15,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,5.5000000000000000e-002,1.0000000000000001e-001,4.7000000000000000e-002,5.0000000000000003e-002,5.5000000000000000e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.7000000000000005e-002,3.9999999999999994e-002,6.2000000000000000e-002,3.4000000000000002e-002,1.0000000000000000e-002,4.5876192090416645e-001,4.2676378820151334e-001,1.1564455136594494e-001,1.0011702604716248e+000,1.0011702604716248e+000,1.0011702604716248e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,16,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,5.5000000000000000e-002,9.9999999999999950e-003,4.7000000000000000e-002,5.5000000000000007e-002,5.5000000000000000e-002,3.0000000000000002e-002,6.9999999999999993e-003,3.7000000000000005e-002,3.9999999999999994e-002,6.2000000000000000e-002,2.3000000000000000e-002,4.0000000000000001e-003,2.4491694913289461e-001,6.8004018348078465e-001,1.0242200367880527e+000,1.9491771694017319e+000,1.9491771694017319e+000,1.9491771694017319e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,17,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.2999999999999997e-002,5.5000000000000007e-002,5.5000000000000000e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.3000000000000002e-002,3.9999999999999994e-002,5.9999999999999998e-002,2.3000000000000000e-002,4.0000000000000001e-003,2.4458823348955361e-001,6.8011218491873282e-001,1.0246184597150609e+000,1.9493188781233473e+000,1.9493188781233473e+000,1.9493188781233473e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,18,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,9.9999999999999950e-003,4.2999999999999997e-002,5.0000000000000003e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.5000000000000003e-002,3.9999999999999994e-002,5.7999999999999996e-002,3.4000000000000002e-002,1.0000000000000000e-002,2.4491700539961905e-001,6.5810332572925367e-001,1.2373612802023638e-001,1.0267564591491092e+000,1.0267564591491092e+000,1.0267564591491092e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,19,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.7000000000000000e-002,5.0000000000000003e-002,5.5000000000000000e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.3000000000000002e-002,4.5999999999999999e-002,5.7999999999999996e-002,2.8500000000000001e-002,1.0000000000000000e-002,3.5244200578532010e-002,4.1465017850990778e-002,7.4431860142705503e-002,1.5114107857222830e-001,1.5114107857222830e-001,1.5114107857222830e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,20,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.7000000000000000e-002,5.5000000000000007e-002,6.2199999999999998e-002,3.5000000000000003e-002,1.4999999999999999e-002,3.7000000000000005e-002,4.5999999999999999e-002,6.2000000000000000e-002,3.4000000000000002e-002,7.0000000000000001e-003,1.9444905229192157e-002,1.9363344720381766e-002,6.0589601407815490e-002,9.9397851357389405e-002,9.9397851357389405e-002,9.9397851357389405e-002,0.0000000000000000e+000,"yes","",
"Sampling1",1,21,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.7000000000000000e-002,5.0000000000000003e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.3000000000000002e-002,3.9999999999999994e-002,6.2000000000000000e-002,3.4000000000000002e-002,4.0000000000000001e-003,2.4454647415600039e-001,6.8012167952970892e-001,1.0251079435979693e+000,1.9497760972836786e+000,1.9497760972836786e+000,1.9497760972836786e+000,0.0000000000000000e+000,"yes","",
"Sampling1",1,22,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.7000000000000000e-002,5.2500000000000005e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.5000000000000003e-002,4.5999999999999999e-002,5.7999999999999996e-002,2.3000000000000000e-002,1.0000000000000000e-002,1.6018755748581390e-001,1.2004212779650215e-001,2.3650041175565831e-001,5.1673009703797435e-001,5.1673009703797435e-001,5.1673009703797435e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,23,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.7000000000000000e-002,5.5000000000000007e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.3000000000000002e-002,4.5999999999999999e-002,5.7999999999999996e-002,3.4000000000000002e-002,1.0000000000000000e-002,6.1361594295726900e-002,6.1157655481340507e-002,7.9133076774176261e-002,2.0165232655124365e-001,2.0165232655124365e-001,2.0165232655124365e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,24,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,1.0000000000000001e-001,4.2999999999999997e-002,5.2500000000000005e-002,6.2199999999999998e-002,4.0000000000000008e-002,6.9999999999999993e-003,3.3000000000000002e-002,4.5999999999999999e-002,5.7999999999999996e-002,2.3000000000000000e-002,7.0000000000000001e-003,3.6420104305676881e-002,5.4669315453394818e-002,7.3057453364286942e-002,1.6414687312335863e-001,1.6414687312335863e-001,1.6414687312335863e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,25,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,9.9999999999999950e-003,1.0000000000000001e-001,4.7000000000000000e-002,5.0000000000000003e-002,6.2199999999999998e-002,3.0000000000000002e-002,1.4999999999999999e-002,3.3000000000000002e-002,4.5999999999999999e-002,6.2000000000000000e-002,2.3000000000000000e-002,7.0000000000000001e-003,3.8304812323235030e-002,6.7333732106738875e-002,9.9049830301776595e-002,2.0468837473175050e-001,2.0468837473175050e-001,2.0468837473175050e-001,0.0000000000000000e+000,"yes","",
"Sampling1",1,26,"no",,0,1.0000000000000001e-001,2.9999999999999999e-001,1.0000000000000000e-003,1.3999999999999999e+000,2.3800000000000000e+002,1.0000000000000001e-001,9.9999999999999950e-003,4.2999999999999997e-002,5.5000000000000007e-002,5.5000000000000000e-002,4.0000000000000008e-002,1.4999999999999999e-002,3.7000000000000005e-002,4.5999999999999999e-002,5.7999999999999996e-002,3.4000000000000002e-002,7.0000000000000001e-003,6.6797196453864865e-002,4.7629323390500293e-002,1.3564140849856973e-001,2.5006792834293490e-001,2.5006792834293490e-001,2.5006792834293490e-001,0.0000000000000000e+000,"yes","",
